"01/2018"	[29886073485291.38, 33504270]
"02/2019"	[13169568600506.855, 13413899]
"03/2016"	[147405369922392.16, 917170]
"04/2017"	[313566325843880.9, 2539966]
"05/2018"	[7676286826625.329, 25105717]
"06/2019"	[9636804887222.41, 25613628]
"07/2016"	[279413233753313.72, 1356907]
"08/2017"	[137380301617408.45, 10523178]
"09/2018"	[12234983360968.303, 16056742]
"10/2016"	[179248883944094.56, 1329847]
"11/2017"	[97096587153912.39, 15292269]
"12/2018"	[25400215754575.74, 17107601]
"01/2017"	[162534125831092.0, 1409664]
"02/2018"	[18158170651490.95, 22231978]
"03/2019"	[12666666616178.502, 18029582]
"04/2016"	[84213011501623.8, 1023096]
"05/2017"	[430003198925990.2, 4245516]
"06/2018"	[8702935382508.444, 22471788]
"08/2016"	[196059539561329.03, 1405743]
"09/2017"	[105249243695032.83, 10672734]
"10/2015"	[741711509708494.0, 205045]
"11/2016"	[164922637112374.94, 1301586]
"12/2017"	[39583281841397.305, 26687692]
"01/2016"	[292455978237765.7, 404816]
"02/2017"	[243656199437108.34, 1410048]
"03/2018"	[8330149515228.591, 20261862]
"04/2019"	[13363056621760.975, 19830158]
"05/2016"	[134641666983122.11, 1346796]
"06/2017"	[175836747400846.0, 7244657]
"07/2018"	[7549945217533.354, 19937033]
"08/2015"	[5612975091356964.0, 85609]
"09/2016"	[131865542471688.48, 1387412]
"10/2018"	[10309907018067.275, 17056926]
"11/2015"	[253414491624538.62, 234733]
"12/2016"	[243030800739204.47, 1316131]
"01/2019"	[14039723537979.002, 16569597]
"02/2016"	[384944845758566.5, 520040]
"03/2017"	[513449240838761.2, 2426471]
"04/2018"	[7561546590996.895, 20876642]
"05/2019"	[12919319340508.59, 24332475]
"06/2016"	[95430615719185.58, 1351536]
"07/2017"	[197910286956895.1, 7835875]
"08/2018"	[8060498779137.853, 19842059]
"09/2015"	[405423776402718.75, 173805]
"10/2017"	[84964510691397.22, 12570063]
"11/2018"	[18717311478977.113, 16713911]
"12/2015"	[227873402443563.94, 347092]
